scientificName,canonicalName,authorship,family,epithet,description
"Byzantinia spec de Bruijn, 1976",Byzantinia spec,"de Bruijn, 1976",Muridae,spec,a rodent that resembles of a particular species
"Ruscinomys hellenicus (Freudenthal, 1970)",Ruscinomys hellenicus,"(Freudenthal, 1970) ",Muridae,hellenicus,a rodent from Greece
"Canariomys tamarani Lopez-Martinez & Lopez-Jurado, 1987",Canariomys tamarani,"Lopez-Martinez & Lopez-Jurado, 1987",Muridae,tamarani,a rodent named after Tamarán
"Carpomys dakal Ochoa, Mijares, Piper, Reyes & Heaney, 2021",Carpomys dakal,"Ochoa, Mijares, Piper, Reyes & Heaney, 2021",Muridae,dakal,a two-toothed rodent
"Carpomys melanurus Thomas, 1895",Carpomys melanurus,"Thomas, 1895",Muridae,melanurus,a black-tailed rodent
"Carpomys phaeurus Thomas, 1895",Carpomys phaeurus,"Thomas, 1895",Muridae,phaeurus,a dark-tailed rodent
"Castillomys crusafonti Michaux, 1969",Castillomys crusafonti,"Michaux, 1969",Muridae,crusafonti,a rodent named after Crusafont
"Castillomys magnus (Sen, 1977)",Castillomys magnus,"(Sen, 1977) ",Muridae,magnus,a rodent that resembles large
"Castillomys margaritae Antunes & Mein, 1989",Castillomys margaritae,"Antunes & Mein, 1989",Muridae,margaritae,a pearl-like rodent
"Castillomys rivas Martín Suárez & Mein, 1991",Castillomys rivas,"Martín Suárez & Mein, 1991",Muridae,rivas,a rodent from streams
"Castromys littoralis Martin Suarez & Freudenthal, 1994",Castromys littoralis,"Martin Suarez & Freudenthal, 1994",Muridae,littoralis,a rodent that resembles of the shore
"Karnimata inflata (Mein et al., 1990)",Karnimata inflata,"(Mein et al., 1990) ",Muridae,inflata,a swollen or inflated rodent
"Valerymys juniensis (Padial Ojeda & Ruiz Bustos, 1989)",Valerymys juniensis,"(Padial Ojeda & Ruiz Bustos, 1989) ",Muridae,juniensis,a rodent from June
"Centralomys benericettii (De Giuli, 1989)",Centralomys benericettii,"(De Giuli, 1989) ",Muridae,benericettii,a rodent named after Benedetto Ricetti
"Chardinomys bilikeensis Qiu & Storch, 2000",Chardinomys bilikeensis,"Qiu & Storch, 2000",Muridae,bilikeensis,a rodent from Bilike
"Chardinomys louisi Zhou, 1988",Chardinomys louisi,"Zhou, 1988",Muridae,louisi,a rodent named after Louis
"Chardinomys yusheensis Jacobs & Li, 1982",Chardinomys yusheensis,"Jacobs & Li, 1982",Muridae,yusheensis,a rodent from Yushé County
"Chiromyscus chiropus (Thomas, 1891)",Chiromyscus chiropus,"(Thomas, 1891) ",Muridae,chiropus,a hand-footed rodent
"Chiromyscus thomasi Balakirev, Abramov & Rozhnov, 2014",Chiromyscus thomasi,"Balakirev, Abramov & Rozhnov, 2014",Muridae,thomasi,a rodent named after Thomas
"Chiropodomys calamianensis (Taylor, 1934)",Chiropodomys calamianensis,"(Taylor, 1934) ",Muridae,calamianensis,a rodent from the Calamian Islands
"Chiropodomys gliroides (Blyth, 1856)",Chiropodomys gliroides,"(Blyth, 1856) ",Muridae,gliroides,a rodent that resembles resembling a dormouse
"Chiropodomys karlkoopmani Musser, 1979",Chiropodomys karlkoopmani,"Musser, 1979",Muridae,karlkoopmani,a rodent named after Karl Koopman
"Chiropodomys major Thomas, 1893",Chiropodomys major,"Thomas, 1893",Muridae,major,a rodent that resembles larger or greater
"Chiropodomys muroides Medway, 1965",Chiropodomys muroides,"Medway, 1965",Muridae,muroides,a mouse-like rodent
"Chiropodomys pusillus Thomas, 1893",Chiropodomys pusillus,"Thomas, 1893",Muridae,pusillus,a rodent that resembles very small
"Chiruromys forbesi Thomas, 1888",Chiruromys forbesi,"Thomas, 1888",Muridae,forbesi,a rodent named after Forbes
"Chiruromys lamia (Thomas, 1897)",Chiruromys lamia,"(Thomas, 1897) ",Muridae,lamia,a devourer-like rodent
"Chiruromys vales (Thomas, 1908)",Chiruromys vales,"(Thomas, 1908) ",Muridae,vales,a rodent that resembles of the valley
"Chiruromys vates (Thomas, 1908)",Chiruromys vates,"(Thomas, 1908) ",Muridae,vates,a prophet-like rodent
"Chiruromys votes (Thomas, 1908)",Chiruromys votes,"(Thomas, 1908) ",Muridae,votes,a violet-colored rodent
"Cholomys pearsoni Reig, 1980",Cholomys pearsoni,"Reig, 1980",Muridae,pearsoni,a rodent named after Pearson
"Chrotomys gonzalesi Rickart & Heaney, 1991",Chrotomys gonzalesi,"Rickart & Heaney, 1991",Muridae,gonzalesi,a rodent named after Gonzales
"Chrotomys mindorensis Kellogg, 1945",Chrotomys mindorensis,"Kellogg, 1945",Muridae,mindorensis,a rodent from Mindoro
"Chrotomys sibuyanensis Rickart, Heaney, Goodman & Jansa, 2005",Chrotomys sibuyanensis,"Rickart, Heaney, Goodman & Jansa, 2005",Muridae,sibuyanensis,a rodent from Sibuyan
"Chrotomys silaceus (Thomas, 1895)",Chrotomys silaceus,"(Thomas, 1895) ",Muridae,silaceus,a rodent that resembles growing on or among sand
"Chrotomys whiteheadi Thomas, 1895",Chrotomys whiteheadi,"Thomas, 1895",Muridae,whiteheadi,a rodent named after Whitehead
"Cimarronomys stirtoni Hibbard, 1953",Cimarronomys stirtoni,"Hibbard, 1953",Muridae,stirtoni,a rodent named after Stirton
"Coccymys kirrhos Musser & Lunde, 2009",Coccymys kirrhos,"Musser & Lunde, 2009",Muridae,kirrhos,a rodent that resembles yellowish or tawny
"Coccymys ruemmleri (Tate & Archbold, 1941)",Coccymys ruemmleri,"(Tate & Archbold, 1941) ",Muridae,ruemmleri,a rodent named after Rümmler
"Coccymys shawmayeri (Hinton, 1943)",Coccymys shawmayeri,"(Hinton, 1943) ",Muridae,shawmayeri,a rodent named after Shaw Mayer
"Collimys primus Daxner-Höck, 1972",Collimys primus,"Daxner-Höck, 1972",Muridae,primus,a rodent that resembles first or earliest
"Colomys goslingi Thomas & Wroughton, 1907",Colomys goslingi,"Thomas & Wroughton, 1907",Muridae,goslingi,a rodent named after Gosling
"Conilurus albipes (Lichtenstein, 1829)",Conilurus albipes,"(Lichtenstein, 1829) ",Muridae,albipes,a white-footed rodent
"Conilurus capricornensis Cramb & Hocknull, 2010",Conilurus capricornensis,"Cramb & Hocknull, 2010",Muridae,capricornensis,a rodent from Capricorn
"Conilurus penicillatus (Gould, 1842)",Conilurus penicillatus,"(Gould, 1842) ",Muridae,penicillatus,a brush-like rodent
Hapalotis arboricola Krefft,Hapalotis arboricola,Krefft,Muridae,arboricola,a rodent that resembles living in trees
"Hapalotis papuanus Ramsay, 1883",Hapalotis papuanus,"Ramsay, 1883",Muridae,papuanus,a rodent from Papua
"Copemys barstowensis Lindsay, 1972",Copemys barstowensis,"Lindsay, 1972",Muridae,barstowensis,a rodent from Barstow
"Copemys esmeraldensis (Clark et al., 1964)",Copemys esmeraldensis,"(Clark et al., 1964) ",Muridae,esmeraldensis,a rodent from the Esmeraldas region
"Copemys lindsayi Sutton & Korth, 1995",Copemys lindsayi,"Sutton & Korth, 1995",Muridae,lindsayi,a rodent named after Lindsay
"Copemys pisinnus (Wilson, 1968)",Copemys pisinnus,"(Wilson, 1968) ",Muridae,pisinnus,a rodent that resembles very small
"Copemys tenuis Lindsay, 1972",Copemys tenuis,"Lindsay, 1972",Muridae,tenuis,a rodent that resembles slender or thin
"Hesperomys loxodon (Cope, 1874)",Hesperomys loxodon,"(Cope, 1874) ",Muridae,loxodon,a slant-toothed rodent
"Peromyscus longidens (Hall, 1930)",Peromyscus longidens,"(Hall, 1930) ",Muridae,longidens,a long-toothed rodent
"Peromyscus pagei (Shotwell, 1967)",Peromyscus pagei,"(Shotwell, 1967) ",Muridae,pagei,a rodent named after Page
"Peromyscus russelli (James, 1963)",Peromyscus russelli,"(James, 1963) ",Muridae,russelli,a rodent named after Russell
"Tregomys shotwelli (Wilson, 1968)",Tregomys shotwelli,"(Wilson, 1968) ",Muridae,shotwelli,a rodent named after Shotwell
"Cordimus debuisonjei Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Cordimus debuisonjei,"Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Muridae,debuisonjei,a rodent named after Debuisonje
"Cordimus hooijeri Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Cordimus hooijeri,"Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Muridae,hooijeri,a rodent named after Dirk Hooijer
"Cordimus raton Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Cordimus raton,"Zijlstra, McFarlane, Van den Hoek Ostende & Lundberg, 2014",Muridae,raton,a rat-like rodent
"Coryphomys buehleri Schaub, 1937",Coryphomys buehleri,"Schaub, 1937",Muridae,buehleri,a rodent named after Bühler
"Crateromys australis Musser, Heaney & Rabor, 1985",Crateromys australis,"Musser, Heaney & Rabor, 1985",Muridae,australis,a rodent that resembles southern
"Crateromys ballik Ochoa, Mijares, Piper, Reyes & Heaney, 2021",Crateromys ballik,"Ochoa, Mijares, Piper, Reyes & Heaney, 2021",Muridae,ballik,a rodent named after Ball
"Crateromys heaneyi Gonzales & Kennedy, 1996",Crateromys heaneyi,"Gonzales & Kennedy, 1996",Muridae,heaneyi,a rodent named after Heaney
"Crateromys paulus Musser & Gordon, 1981",Crateromys paulus,"Musser & Gordon, 1981",Muridae,paulus,a rodent that resembles small
"Crateromys schadenbergi (Meyer, 1895)",Crateromys schadenbergi,"(Meyer, 1895) ",Muridae,schadenbergi,a rodent named after Schadenberg
"Cremnomys cutchicus Wroughton, 1912",Cremnomys cutchicus,"Wroughton, 1912",Muridae,cutchicus,a rodent from Cutch
"Cremnomys elvira (Ellerman, 1947)",Cremnomys elvira,"(Ellerman, 1947) ",Muridae,elvira,a rodent that resembles of the woods
"Cricetodon albanensis Mein & Freudenthal, 1971",Cricetodon albanensis,"Mein & Freudenthal, 1971",Muridae,albanensis,a rodent from or of Albania
"Cricetodon aliveriensis Klein Hofmeijer & de Bruijn, 1988",Cricetodon aliveriensis,"Klein Hofmeijer & de Bruijn, 1988",Muridae,aliveriensis,a rodent from Aliveri
"Cricetodon aragonensis Freudenthal, 1966",Cricetodon aragonensis,"Freudenthal, 1966",Muridae,aragonensis,a rodent from Aragon
"Cricetodon aureus Mein & Freudenthal, 1971",Cricetodon aureus,"Mein & Freudenthal, 1971",Muridae,aureus,a golden or gold-colored rodent
"Cricetodon bijugatus Mein & Freudenthal, 1971",Cricetodon bijugatus,"Mein & Freudenthal, 1971",Muridae,bijugatus,a two-yoked rodent
"Cricetodon caucasicus Argyropulo, 1938",Cricetodon caucasicus,"Argyropulo, 1938",Muridae,caucasicus,a rodent from the Caucasus region
"Cricetodon collatum Schaub, 1925",Cricetodon collatum,"Schaub, 1925",Muridae,collatum,a rodent that resembles joined or brought together
"Cricetodon decedens (Schaub, 1925)",Cricetodon decedens,"(Schaub, 1925) ",Muridae,decedens,a rodent that resembles fading away
"Cricetodon goklerensis Joniak et al., 2017",Cricetodon goklerensis,"Joniak et al., 2017",Muridae,goklerensis,a rodent from Gökler
"Cricetodon gregarius (Schaub, 1925)",Cricetodon gregarius,"(Schaub, 1925) ",Muridae,gregarius,a rodent that resembles growing in groups
"Cricetodon jotae Mein & Freudenthal, 1971",Cricetodon jotae,"Mein & Freudenthal, 1971",Muridae,jotae,a rodent that resembles small or minute
"Cricetodon jumaensis Rummel, 2001",Cricetodon jumaensis,"Rummel, 2001",Muridae,jumaensis,a rodent from the Juma River
"Cricetodon kasapligili de Bruijn et al., 1993",Cricetodon kasapligili,"de Bruijn et al., 1993",Muridae,kasapligili,a rodent named after Kasap and Ligil
"Cricetodon lavocati (Freudenthal, 1966)",Cricetodon lavocati,"(Freudenthal, 1966) ",Muridae,lavocati,a rodent named after Lavocat
"Cricetodon lusitanicus (Schaub, 1925)",Cricetodon lusitanicus,"(Schaub, 1925) ",Muridae,lusitanicus,a rodent from Portugal
"Cricetodon meini Freudenthal, 1963",Cricetodon meini,"Freudenthal, 1963",Muridae,meini,a rodent named after Meini
"Cricetodon minor Lartet, 1851",Cricetodon minor,"Lartet, 1851",Muridae,minor,a rodent that resembles smaller or lesser
"Cricetodon nombrevillae (Freudenthal, 1966)",Cricetodon nombrevillae,"(Freudenthal, 1966) ",Muridae,nombrevillae,a rodent from the beautiful town
"Cricetodon rhodanicus (Depéret, 1887)",Cricetodon rhodanicus,"(Depéret, 1887) ",Muridae,rhodanicus,a rodent from the Rhône region
"Cricetodon sansaniensis Lartet, 1851",Cricetodon sansaniensis,"Lartet, 1851",Muridae,sansaniensis,a rodent from Sansan
"Cricetodon schaubi Villalta & Crusafont, 1956",Cricetodon schaubi,"Villalta & Crusafont, 1956",Muridae,schaubi,a rodent named after Schaub
"Cricetodon schaubii Zdansky, 1930",Cricetodon schaubii,"Zdansky, 1930",Muridae,schaubii,a rodent named after Schaub
"Cricetodon tobieni de Bruijn et al., 1993",Cricetodon tobieni,"de Bruijn et al., 1993",Muridae,tobieni,a rodent named after Tobien
"Cricetodon versteegi de Bruijn et al., 1993",Cricetodon versteegi,"de Bruijn et al., 1993",Muridae,versteegi,a rodent named after Versteeg
Deperetomys hagni,Deperetomys hagni,,Muridae,hagni,a rodent that resembles pure or chaste
"Cricetops auster Li et al., 2016",Cricetops auster,"Li et al., 2016",Muridae,auster,a rodent that resembles southern
"Cricetops caducus Shevyreva, 1967",Cricetops caducus,"Shevyreva, 1967",Muridae,caducus,a rodent that resembles falling off early
"Cricetops dormitor Matthew & Granger, 1923",Cricetops dormitor,"Matthew & Granger, 1923",Muridae,dormitor,a rodent that resembles sleeping
"Cricetops minor Wang, 1987",Cricetops minor,"Wang, 1987",Muridae,minor,a rodent that resembles smaller or lesser
"Crossomys moncktoni Thomas, 1907",Crossomys moncktoni,"Thomas, 1907",Muridae,moncktoni,a rodent named after Monckton
"Crunomys celebensis Musser, 1982",Crunomys celebensis,"Musser, 1982",Muridae,celebensis,a rodent from Celebes
"Crunomys fallax Thomas, 1897",Crunomys fallax,"Thomas, 1897",Muridae,fallax,a rodent that resembles deceptive or misleading
"Crunomys melanius Thomas, 1907",Crunomys melanius,"Thomas, 1907",Muridae,melanius,a rodent that resembles black
"Crunomys suncoides Rickart, Heaney, Tabaranza Jr. & Balete, 1998",Crunomys suncoides,"Rickart, Heaney, Tabaranza Jr. & Balete, 1998",Muridae,suncoides,a sun-shaped rodent
"Dacnomys miliardi Thomas, 1916",Dacnomys miliardi,"Thomas, 1916",Muridae,miliardi,a rodent named after Miliardi
"Dacnomys millardi Thomas, 1916",Dacnomys millardi,"Thomas, 1916",Muridae,millardi,a rodent named after Millard
"Dankomys simpsoni Reig, 1978",Dankomys simpsoni,"Reig, 1978",Muridae,simpsoni,a rodent named after Simpson
"Dankomys vorohuensis Reig, 1994",Dankomys vorohuensis,"Reig, 1994",Muridae,vorohuensis,a rodent from Vorohu
"Dasymys alleni Lawrence & Loveridge, 1953",Dasymys alleni,"Lawrence & Loveridge, 1953",Muridae,alleni,a rodent named after Allen
"Dasymys cabrali W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys cabrali,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae,cabrali,a rodent named after Cabral
"Dasymys capensis Roberts, 1936",Dasymys capensis,"Roberts, 1936",Muridae,capensis,a rodent from the Cape of Good Hope
"Dasymys foxi Thomas, 1912",Dasymys foxi,"Thomas, 1912",Muridae,foxi,a rodent named after Fox
"Dasymys griseifrons Osgood, 1936",Dasymys griseifrons,"Osgood, 1936",Muridae,griseifrons,a gray-fronted rodent
"Dasymys incomtus (Sundevall, 1847)",Dasymys incomtus,"(Sundevall, 1847) ",Muridae,incomtus,a unkempt or disheveled rodent
"Dasymys longipilosus Eisentraut, 1963",Dasymys longipilosus,"Eisentraut, 1963",Muridae,longipilosus,a rodent that resembles with long hairs
"Dasymys montanus Thomas, 1906",Dasymys montanus,"Thomas, 1906",Muridae,montanus,a rodent that resembles of or from mountains
"Dasymys nudipes (Peters, 1870)",Dasymys nudipes,"(Peters, 1870) ",Muridae,nudipes,a bare-footed rodent
"Dasymys robertsii Mullin, P.J.Taylor & Pillay, 2004",Dasymys robertsii,"Mullin, P.J.Taylor & Pillay, 2004",Muridae,robertsii,a rodent named after Roberts
"Dasymys rufulus Miller, 1900",Dasymys rufulus,"Miller, 1900",Muridae,rufulus,a rodent that resembles reddish or tawny
"Dasymys rwandae W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys rwandae,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae,rwandae,a rodent from Rwanda
"Dasymys sua W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys sua,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae,sua,a rodent that resembles of itself
"Debruijnia kostakii de Bruijn, 2017",Debruijnia kostakii,"de Bruijn, 2017",Muridae,kostakii,a rodent named after Kostas
"Cricetodon minus (Lartet, 1851)",Cricetodon minus,"(Lartet, 1851) ",Muridae,minus,a rodent that resembles smaller
"Democricetodon affinis Schaub, 1925",Democricetodon affinis,"Schaub, 1925",Muridae,affinis,a rodent that resembles related to
Democricetodon brevis,Democricetodon brevis,,Muridae,brevis,a rodent that resembles short
"Democricetodon crassus Freudenthal, 1967",Democricetodon crassus,"Freudenthal, 1967",Muridae,crassus,a rodent that resembles thick or stout
"Democricetodon cretensis de Bruijn & Meulenkamp, 1972",Democricetodon cretensis,"de Bruijn & Meulenkamp, 1972",Muridae,cretensis,a rodent from Crete
"Democricetodon darocensis Freudenthal, 1963",Democricetodon darocensis,"Freudenthal, 1963",Muridae,darocensis,a rodent from Daroca
"Democricetodon franconicus Fahlbusch, 1966",Democricetodon franconicus,"Fahlbusch, 1966",Muridae,franconicus,a rodent from Franconia
"Democricetodon freisingensis Fahlbusch, 1964",Democricetodon freisingensis,"Fahlbusch, 1964",Muridae,freisingensis,a rodent from Freising
"Democricetodon gaillardi Schaub, 1925",Democricetodon gaillardi,"Schaub, 1925",Muridae,gaillardi,a rodent named after Gaillard
Democricetodon gregarius,Democricetodon gregarius,,Muridae,gregarius,a rodent that resembles growing in groups
"Democricetodon haltmari Joniak et al., 2017",Democricetodon haltmari,"Joniak et al., 2017",Muridae,haltmari,a rodent named after Haltmar
"Democricetodon hispanicus Freudenthal, 1967",Democricetodon hispanicus,"Freudenthal, 1967",Muridae,hispanicus,a rodent from Spain or the Iberian Peninsula
"Democricetodon kaonou Mein & Ginsburg, 1997",Democricetodon kaonou,"Mein & Ginsburg, 1997",Muridae,kaonou,a newly hatched rodent
"Democricetodon khani de Bruijn et al., 1981",Democricetodon khani,"de Bruijn et al., 1981",Muridae,khani,a rodent named after Khan
"Democricetodon romieviensis Freudenthal, 1963",Democricetodon romieviensis,"Freudenthal, 1963",Muridae,romieviensis,a rodent from Rome
"Democricetodon similis Fahlbusch, 1964",Democricetodon similis,"Fahlbusch, 1964",Muridae,similis,a rodent that resembles resembling another species
"Democricetodon sulcatus Freudenthal, 1967",Democricetodon sulcatus,"Freudenthal, 1967",Muridae,sulcatus,a grooved or furrowed rodent
"Democricetodon vindoboniensis Schaub & Zapfe, 1953",Democricetodon vindoboniensis,"Schaub & Zapfe, 1953",Muridae,vindoboniensis,a rodent from Vienna
"Deomys ferrugineus Thomas, 1888",Deomys ferrugineus,"Thomas, 1888",Muridae,ferrugineus,a rusty-red colored rodent
"Deomys ferruginous Thomas, 1888",Deomys ferruginous,"Thomas, 1888",Muridae,ferruginous,a rodent that resembles rusty red-brown
"Deperetomys anatolicus de Bruijn et al., 1993",Deperetomys anatolicus,"de Bruijn et al., 1993",Muridae,anatolicus,a rodent from Anatolia
"Deperetomys calefactus Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Deperetomys calefactus,"Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Muridae,calefactus,a warmed or heated rodent
"Deperetomys intermedia de Bruijn et al., 1987",Deperetomys intermedia,"de Bruijn et al., 1987",Muridae,intermedia,a rodent that resembles intermediate form
"Deperetomys magnus de Bruijn et al., 2013",Deperetomys magnus,"de Bruijn et al., 2013",Muridae,magnus,a rodent that resembles large
"Deperetomys saltensis Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Deperetomys saltensis,"Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Muridae,saltensis,a rodent from Salta
"Dephomys defua (Miller, 1900)",Dephomys defua,"(Miller, 1900) ",Muridae,defua,a rodent from Defua
"Dephomys eburneae (Heim de Balsac & Bellier, 1967)",Dephomys eburneae,"(Heim de Balsac & Bellier, 1967) ",Muridae,eburneae,a ivory-colored rodent
"Desmodilliscus braueri Wettstein, 1916",Desmodilliscus braueri,"Wettstein, 1916",Muridae,braueri,a rodent named after Brauer
"Desmodillus auricularis (A.Smith, 1834)",Desmodillus auricularis,"(A.Smith, 1834) ",Muridae,auricularis,a ear-shaped rodent
"Desmomys harringtoni (Thomas, 1902)",Desmomys harringtoni,"(Thomas, 1902) ",Muridae,harringtoni,a rodent named after Harrington
"Desmomys yaldeni Lavrenchenko, 2003",Desmomys yaldeni,"Lavrenchenko, 2003",Muridae,yaldeni,a rodent named after Yalden
"Diomys crumpi Thomas, 1917",Diomys crumpi,"Thomas, 1917",Muridae,crumpi,a rodent named after Crump
"Diplothrix legata (Thomas, 1906)",Diplothrix legata,"(Thomas, 1906) ",Muridae,legata,a dedicated or bequeathed rodent
"Dipodillus bottai (Lataste, 1882)",Dipodillus bottai,"(Lataste, 1882) ",Muridae,bottai,a rodent named after Bott
"Dipodillus campestris (Levaillant, 1857)",Dipodillus campestris,"(Levaillant, 1857) ",Muridae,campestris,a rodent that resembles of the fields or plains
"Dipodillus dasyurus (Wagner, 1842)",Dipodillus dasyurus,"(Wagner, 1842) ",Muridae,dasyurus,a hairy-tailed rodent
"Dipodillus harwoodi (Thomas, 1901)",Dipodillus harwoodi,"(Thomas, 1901) ",Muridae,harwoodi,a rodent named after Harwood
"Dipodillus jamesi (Harrison, 1967)",Dipodillus jamesi,"(Harrison, 1967) ",Muridae,jamesi,a rodent named after James
"Dipodillus lowei (Thomas & Hinton, 1923)",Dipodillus lowei,"(Thomas & Hinton, 1923) ",Muridae,lowei,a rodent named after Lowe
"Dipodillus mackilligini Thomas, 1904",Dipodillus mackilligini,"Thomas, 1904",Muridae,mackilligini,a rodent named after Mackilligan
"Dipodillus maghrebi (Schlitter & Setzer, 1972)",Dipodillus maghrebi,"(Schlitter & Setzer, 1972) ",Muridae,maghrebi,a rodent from the Maghreb
"Dipodillus rupicola (Granjon, Aniskin, Volobouev & Sicard, 2002)",Dipodillus rupicola,"(Granjon, Aniskin, Volobouev & Sicard, 2002) ",Muridae,rupicola,a rodent that resembles growing on rocks
"Dipodillus simoni (Lataste, 1881)",Dipodillus simoni,"(Lataste, 1881) ",Muridae,simoni,a rodent named after Simon
"Dipodillus somalicus (Thomas, 1910)",Dipodillus somalicus,"(Thomas, 1910) ",Muridae,somalicus,a rodent from Somalia
"Dipodillus stigmonyx (Heuglin, 1877)",Dipodillus stigmonyx,"(Heuglin, 1877) ",Muridae,stigmonyx,a rodent that resembles marked with claw-like spots
"Dipodillus zakariai Cockrum, Vaughn & Vaughn, 1976",Dipodillus zakariai,"Cockrum, Vaughn & Vaughn, 1976",Muridae,zakariai,a rodent named after Zakaria
"Dushimys larsi Zijlstra, 2012",Dushimys larsi,"Zijlstra, 2012",Muridae,larsi,a rodent named after Lars
"Echiothrix centrosa Miller & Hollister, 1921",Echiothrix centrosa,"Miller & Hollister, 1921",Muridae,centrosa,a rodent that resembles with central spines
"Echiothrix leucura Gray, 1867",Echiothrix leucura,"Gray, 1867",Muridae,leucura,a white-tailed rodent
"Edirnella kempeni de Bruijn et al., 2003",Edirnella kempeni,"de Bruijn et al., 2003",Muridae,kempeni,a rodent from the Kempen region
"Edirnella sinani Unay-Bayraktar, 1989",Edirnella sinani,"Unay-Bayraktar, 1989",Muridae,sinani,a rodent named after Sinan
"Enginia beckerplateni de Bruijn & von Koenigswald, 1994",Enginia beckerplateni,"de Bruijn & von Koenigswald, 1994",Muridae,beckerplateni,a rodent named after Becker-Platen
"Enginia djanpolati de Bruijn & von Koenigswald, 1994",Enginia djanpolati,"de Bruijn & von Koenigswald, 1994",Muridae,djanpolati,a rodent named after Djanpolad
"Enginia gertcheki de Bruijn & von Koenigswald, 1994",Enginia gertcheki,"de Bruijn & von Koenigswald, 1994",Muridae,gertcheki,a rodent named after Gertchek
"Leidymys vetus (Wood, 1937)",Leidymys vetus,"(Wood, 1937) ",Muridae,vetus,a rodent that resembles old or ancient
"Epimeriones austriacus Daxner-Höck, 1972",Epimeriones austriacus,"Daxner-Höck, 1972",Muridae,austriacus,a rodent from Austria
"Eropeplus canus Miller & Hollister, 1921",Eropeplus canus,"Miller & Hollister, 1921",Muridae,canus,a rodent that resembles gray or ashy
"Cricetodon dubius (Schaub, 1925)",Cricetodon dubius,"(Schaub, 1925) ",Muridae,dubius,a rodent that resembles doubtful or uncertain identity
"Eucricetodon aquitanicus Baudelot & de Bonis, 1968",Eucricetodon aquitanicus,"Baudelot & de Bonis, 1968",Muridae,aquitanicus,a rodent from Aquitaine
"Eucricetodon atavoides Freudenthal, 1996",Eucricetodon atavoides,"Freudenthal, 1996",Muridae,atavoides,a rodent that resembles resembling an ancestor
"Eucricetodon bagus Gomes Rodrigues et al., 2012",Eucricetodon bagus,"Gomes Rodrigues et al., 2012",Muridae,bagus,a rodent that resembles good
"Eucricetodon caducus (Shevyreva, 1967)",Eucricetodon caducus,"(Shevyreva, 1967) ",Muridae,caducus,a rodent that resembles falling off early
"Eucricetodon collatum (Schaub, 1925)",Eucricetodon collatum,"(Schaub, 1925) ",Muridae,collatum,a rodent that resembles joined or brought together
"Eucricetodon deploratus Shevyreva, 1967",Eucricetodon deploratus,"Shevyreva, 1967",Muridae,deploratus,a rodent that resembles deplorable
"Eucricetodon gerandianus Gervais, 1848",Eucricetodon gerandianus,"Gervais, 1848",Muridae,gerandianus,a rodent named after Gerand
"Eucricetodon haslachensis Schaub, 1925",Eucricetodon haslachensis,"Schaub, 1925",Muridae,haslachensis,a rodent from Lake Haslach
"Eucricetodon hochheimensis Schaub, 1925",Eucricetodon hochheimensis,"Schaub, 1925",Muridae,hochheimensis,a rodent from Hochheim
"Eucricetodon huberi (Schaub, 1925)",Eucricetodon huberi,"(Schaub, 1925) ",Muridae,huberi,a rodent named after Huber
"Eucricetodon huerzeleri Vianey-Liaud, 1972",Eucricetodon huerzeleri,"Vianey-Liaud, 1972",Muridae,huerzeleri,a rodent named after Hürzeler
"Eucricetodon infralactorensis Viret, 1930",Eucricetodon infralactorensis,"Viret, 1930",Muridae,infralactorensis,a rodent from below the Lactoris River
"Eucricetodon jilantaiensis Gomes Rodrigues et al., 2012",Eucricetodon jilantaiensis,"Gomes Rodrigues et al., 2012",Muridae,jilantaiensis,a rodent from Jilantai
"Eucricetodon longidens Hugueney, 1969",Eucricetodon longidens,"Hugueney, 1969",Muridae,longidens,a long-toothed rodent
"Eucricetodon margaritae Daams et al., 1989",Eucricetodon margaritae,"Daams et al., 1989",Muridae,margaritae,a pearl-like rodent
"Eucricetodon martinensis Freudenthal, 1994",Eucricetodon martinensis,"Freudenthal, 1994",Muridae,martinensis,a rodent from San Martin
"Eucricetodon moguntiacus Bahlo, 1975",Eucricetodon moguntiacus,"Bahlo, 1975",Muridae,moguntiacus,a rodent from or related to Mainz
"Eucricetodon nanoides Freudenthal, 1996",Eucricetodon nanoides,"Freudenthal, 1996",Muridae,nanoides,a dwarf-like rodent
